Longitude,Latitude,panel
13.646980666325742,52.34060244343551,0
13.64761472744491,52.34042934682962,1
13.64776549078905,52.340481535705294,2
13.647991508818704,52.34070278604728,3
13.64662223465611,52.34096577982682,4
13.646657181803844,52.34083862031986,5
13.646791172872863,52.34067208623118,6
13.648385883695402,52.3410945752154,7
13.645410165390016,52.342075136892944,8
13.648847212364618,52.3415481308573,9
13.647267625416024,52.34189382134109,10
13.649283924239487,52.34199782241385,11
13.639470009733389,52.34493954512694,12
13.645155546418891,52.343148785897604,13
13.645173142538086,52.343236671379415,14
13.647003621903137,52.34264562893649,15
13.648654980782675,52.34280548651855,16
13.650240831324744,52.3430052177707,17
13.644834019563021,52.344064436946915,18
13.64538146889613,52.34390086849849,19
13.649056120865039,52.34370688803732,20
13.651675641192028,52.34372296635068,21
13.644904046810439,52.344565154959945,22
13.645790169454036,52.34455422979458,23
13.64724824354286,52.34454521792549,24
13.648981975576827,52.345080891953195,25
13.638496874001438,52.34568218244109,26
13.639357675857935,52.345388573836466,27
13.640529966210492,52.34572961319861,28
13.64438054552874,52.345755644811966,29
13.644783455269003,52.34546838706179,30
13.64560638418768,52.34552809502056,31
13.649150534151815,52.345400059420435,32
13.649488353895608,52.34603972472382,33
13.652620240700491,52.34505741227564,34
13.652997679530163,52.34557064149037,35
13.63848473408075,52.34676385591794,36
13.640262590518446,52.34626005843044,37
13.641093885971813,52.346591425816406,38
13.642402199782333,52.34725150932668,39
13.644854670268023,52.34658182922693,40
13.645739960299307,52.34622348234282,41
13.650026022900757,52.34679031017204,42
13.651700901356719,52.34635799592274,43
13.653265764076124,52.345954078582125,44
13.639005236248055,52.34699882284169,45
13.639859405542516,52.34740850445728,46
13.640708540460224,52.34722525966037,47
13.644024050713973,52.34723898790019,48
13.645502633239502,52.347369585783184,49
13.647346698792953,52.3475215734421,50
13.648980597609725,52.34719334409229,51
13.649971085172233,52.346948720662134,52
13.65252477309574,52.34799338198125,53
13.652982349429704,52.34746582108871,54
13.654631383828383,52.34712279265545,55
13.640182615648536,52.34802497634364,56
13.640033877859313,52.348127716673766,57
13.641321058446515,52.3481527640591,58
13.642544422398796,52.34811228734762,59
13.645835512225071,52.34817265997059,60
13.647131784235693,52.34869111195568,61
13.650451771051507,52.34794359620309,62
13.651538535389117,52.348276307918944,63
13.652849017615498,52.348868313115254,64
13.655540179146495,52.34793996839332,65
13.6420161700235,52.34850276464796,66
13.643216335428354,52.34892856911707,67
13.644215798207117,52.348972454433074,68
13.645968304113465,52.34890503296297,69
13.6481407521193,52.34847778508254,70
13.64904140136806,52.34829682525832,71
13.652580513604887,52.34870978640346,72
13.655992520625354,52.348889313169096,73
13.644751738284532,52.349370979238614,74
13.645750134102048,52.34982973401037,75
13.647299590057836,52.349609113298605,76
13.648790472514465,52.35004618165602,77
13.65013383305335,52.35043981560178,78
13.651558087295564,52.35086273482294,79
